episode_id,arrival_utc,split,budget_hours
frontera-train-0000,2020-01-05T19:00:00Z,train,192
frontera-train-0001,2020-01-08T04:00:00Z,train,192
frontera-train-0002,2020-01-11T20:00:00Z,train,192
frontera-train-0003,2020-01-14T09:00:00Z,train,192
frontera-train-0004,2020-01-17T08:00:00Z,train,192
frontera-train-0005,2020-01-20T17:00:00Z,train,192
frontera-train-0006,2020-01-23T07:00:00Z,train,192
frontera-train-0007,2020-01-26T00:00:00Z,train,192
frontera-train-0008,2020-01-29T04:00:00Z,train,192
frontera-train-0009,2020-02-01T11:00:00Z,train,192
frontera-train-0010,2020-02-04T17:00:00Z,train,192
frontera-train-0011,2020-02-07T10:00:00Z,train,192
frontera-train-0012,2020-02-10T17:00:00Z,train,192
frontera-train-0013,2020-02-13T16:00:00Z,train,192
frontera-train-0014,2020-02-16T06:00:00Z,train,192
frontera-train-0015,2020-02-19T20:00:00Z,train,192
frontera-train-0016,2020-02-22T06:00:00Z,train,192
frontera-train-0017,2020-02-25T15:00:00Z,train,192
frontera-train-0018,2020-02-28T21:00:00Z,train,192
frontera-train-0019,2020-03-02T12:00:00Z,train,192
frontera-train-0020,2020-03-05T00:00:00Z,train,192
frontera-train-0021,2020-03-08T11:00:00Z,train,192
frontera-train-0022,2020-03-11T23:00:00Z,train,192
frontera-train-0023,2020-03-14T23:00:00Z,train,192
frontera-train-0024,2020-03-17T01:00:00Z,train,192
frontera-train-0025,2020-03-20T04:00:00Z,train,192
frontera-train-0026,2020-03-23T18:00:00Z,train,192
frontera-train-0027,2020-03-26T03:00:00Z,train,192
frontera-train-0028,2020-03-29T09:00:00Z,train,192
frontera-train-0029,2020-04-01T00:00:00Z,train,192
frontera-train-0030,2020-04-04T15:00:00Z,train,192
frontera-train-0031,2020-04-07T23:00:00Z,train,192
frontera-train-0032,2020-04-10T00:00:00Z,train,192
frontera-train-0033,2020-04-13T15:00:00Z,train,192
frontera-train-0034,2020-04-16T19:00:00Z,train,192
frontera-train-0035,2020-04-19T16:00:00Z,train,192
frontera-train-0036,2020-04-22T05:00:00Z,train,192
frontera-train-0037,2020-04-25T19:00:00Z,train,192
frontera-train-0038,2020-04-28T11:00:00Z,train,192
frontera-train-0039,2020-05-01T08:00:00Z,train,192
frontera-train-0040,2020-05-04T07:00:00Z,train,192
frontera-train-0041,2020-05-07T06:00:00Z,train,192
frontera-train-0042,2020-05-10T13:00:00Z,train,192
frontera-train-0043,2020-05-13T14:00:00Z,train,192
frontera-train-0044,2020-05-16T06:00:00Z,train,192
frontera-train-0045,2020-05-19T01:00:00Z,train,192
frontera-train-0046,2020-05-22T12:00:00Z,train,192
frontera-train-0047,2020-05-25T16:00:00Z,train,192
frontera-train-0048,2020-05-28T07:00:00Z,train,192
frontera-train-0049,2020-05-31T06:00:00Z,train,192
frontera-train-0050,2020-06-03T10:00:00Z,train,192
frontera-train-0051,2020-06-06T17:00:00Z,train,192
frontera-train-0052,2020-06-09T09:00:00Z,train,192
frontera-train-0053,2020-06-12T23:00:00Z,train,192
frontera-train-0054,2020-06-15T03:00:00Z,train,192
frontera-train-0055,2020-06-18T18:00:00Z,train,192
frontera-train-0056,2020-06-21T15:00:00Z,train,192
frontera-train-0057,2020-06-24T01:00:00Z,train,192
frontera-train-0058,2020-06-27T03:00:00Z,train,192
frontera-train-0059,2020-06-30T01:00:00Z,train,192
frontera-train-0060,2020-07-03T08:00:00Z,train,192
frontera-train-0061,2020-07-06T00:00:00Z,train,192
frontera-train-0062,2020-07-09T17:00:00Z,train,192
frontera-train-0063,2020-07-12T08:00:00Z,train,192
frontera-train-0064,2020-07-15T03:00:00Z,train,192
frontera-train-0065,2020-07-18T17:00:00Z,train,192
frontera-train-0066,2020-07-21T06:00:00Z,train,192
frontera-train-0067,2020-07-24T14:00:00Z,train,192
frontera-train-0068,2020-07-27T15:00:00Z,train,192
frontera-train-0069,2020-07-30T04:00:00Z,train,192
frontera-train-0070,2020-08-02T22:00:00Z,train,192
frontera-train-0071,2020-08-05T08:00:00Z,train,192
frontera-train-0072,2020-08-08T00:00:00Z,train,192
frontera-validation-0000,2020-10-01T09:00:00Z,validation,192
frontera-validation-0001,2020-10-04T15:00:00Z,validation,192
frontera-validation-0002,2020-10-07T03:00:00Z,validation,192
frontera-validation-0003,2020-10-10T02:00:00Z,validation,192
frontera-validation-0004,2020-10-13T05:00:00Z,validation,192
frontera-validation-0005,2020-10-16T12:00:00Z,validation,192
frontera-validation-0006,2020-10-19T01:00:00Z,validation,192
frontera-validation-0007,2020-10-22T03:00:00Z,validation,192
frontera-validation-0008,2020-10-25T16:00:00Z,validation,192
frontera-validation-0009,2020-10-28T22:00:00Z,validation,192
frontera-validation-0010,2020-10-31T02:00:00Z,validation,192
frontera-validation-0011,2020-11-03T05:00:00Z,validation,192
frontera-validation-0012,2020-11-06T06:00:00Z,validation,192
frontera-validation-0013,2020-11-09T21:00:00Z,validation,192
