episode_id,arrival_utc,split,budget_hours
iw-train-0000,2023-02-01T19:00:00Z,train,192
iw-train-0001,2023-02-04T04:00:00Z,train,192
iw-train-0002,2023-02-07T20:00:00Z,train,192
iw-train-0003,2023-02-10T09:00:00Z,train,192
iw-train-0004,2023-02-13T08:00:00Z,train,192
iw-train-0005,2023-02-16T17:00:00Z,train,192
iw-train-0006,2023-02-19T07:00:00Z,train,192
iw-train-0007,2023-02-22T00:00:00Z,train,192
iw-train-0008,2023-02-25T04:00:00Z,train,192
iw-train-0009,2023-02-28T11:00:00Z,train,192
iw-train-0010,2023-03-03T17:00:00Z,train,192
iw-train-0011,2023-03-06T10:00:00Z,train,192
iw-train-0012,2023-03-09T17:00:00Z,train,192
iw-train-0013,2023-03-12T16:00:00Z,train,192
iw-train-0014,2023-03-15T06:00:00Z,train,192
iw-train-0015,2023-03-18T20:00:00Z,train,192
iw-train-0016,2023-03-21T06:00:00Z,train,192
iw-train-0017,2023-03-24T15:00:00Z,train,192
iw-train-0018,2023-03-27T21:00:00Z,train,192
iw-train-0019,2023-03-30T12:00:00Z,train,192
iw-train-0020,2023-04-02T00:00:00Z,train,192
iw-train-0021,2023-04-05T11:00:00Z,train,192
iw-train-0022,2023-04-08T23:00:00Z,train,192
iw-train-0023,2023-04-11T23:00:00Z,train,192
iw-train-0024,2023-04-14T01:00:00Z,train,192
iw-train-0025,2023-04-17T04:00:00Z,train,192
iw-train-0026,2023-04-20T18:00:00Z,train,192
iw-train-0027,2023-04-23T03:00:00Z,train,192
iw-train-0028,2023-04-26T09:00:00Z,train,192
iw-train-0029,2023-04-29T00:00:00Z,train,192
iw-train-0030,2023-05-02T15:00:00Z,train,192
iw-train-0031,2023-05-05T23:00:00Z,train,192
iw-train-0032,2023-05-08T00:00:00Z,train,192
iw-train-0033,2023-05-11T15:00:00Z,train,192
iw-train-0034,2023-05-14T19:00:00Z,train,192
iw-train-0035,2023-05-17T16:00:00Z,train,192
iw-train-0036,2023-05-20T05:00:00Z,train,192
iw-train-0037,2023-05-23T19:00:00Z,train,192
iw-train-0038,2023-05-26T11:00:00Z,train,192
iw-train-0039,2023-05-29T08:00:00Z,train,192
iw-train-0040,2023-06-01T07:00:00Z,train,192
iw-train-0041,2023-06-04T06:00:00Z,train,192
iw-train-0042,2023-06-07T13:00:00Z,train,192
iw-train-0043,2023-06-10T14:00:00Z,train,192
iw-train-0044,2023-06-13T06:00:00Z,train,192
iw-train-0045,2023-06-16T01:00:00Z,train,192
iw-train-0046,2023-06-19T12:00:00Z,train,192
iw-train-0047,2023-06-22T16:00:00Z,train,192
iw-train-0048,2023-06-25T07:00:00Z,train,192
iw-train-0049,2023-06-28T06:00:00Z,train,192
iw-train-0050,2023-07-01T10:00:00Z,train,192
iw-train-0051,2023-07-04T17:00:00Z,train,192
iw-train-0052,2023-07-07T09:00:00Z,train,192
iw-train-0053,2023-07-10T23:00:00Z,train,192
iw-train-0054,2023-07-13T03:00:00Z,train,192
iw-train-0055,2023-07-16T18:00:00Z,train,192
iw-train-0056,2023-07-19T15:00:00Z,train,192
iw-train-0057,2023-07-22T01:00:00Z,train,192
iw-train-0058,2023-07-25T03:00:00Z,train,192
iw-train-0059,2023-07-28T01:00:00Z,train,192
iw-train-0060,2023-07-31T08:00:00Z,train,192
iw-train-0061,2023-08-03T00:00:00Z,train,192
iw-train-0062,2023-08-06T17:00:00Z,train,192
iw-train-0063,2023-08-09T08:00:00Z,train,192
iw-train-0064,2023-08-12T03:00:00Z,train,192
iw-train-0065,2023-08-15T17:00:00Z,train,192
iw-train-0066,2023-08-18T06:00:00Z,train,192
iw-train-0067,2023-08-21T14:00:00Z,train,192
iw-train-0068,2023-08-24T15:00:00Z,train,192
iw-train-0069,2023-08-27T04:00:00Z,train,192
iw-train-0070,2023-08-30T22:00:00Z,train,192
iw-train-0071,2023-09-02T08:00:00Z,train,192
iw-train-0072,2023-09-05T00:00:00Z,train,192
iw-train-0073,2023-09-08T09:00:00Z,train,192
iw-validation-0000,2023-11-01T15:00:00Z,validation,192
iw-validation-0001,2023-11-04T03:00:00Z,validation,192
iw-validation-0002,2023-11-07T02:00:00Z,validation,192
iw-validation-0003,2023-11-10T05:00:00Z,validation,192
iw-validation-0004,2023-11-13T12:00:00Z,validation,192
iw-validation-0005,2023-11-16T01:00:00Z,validation,192
iw-validation-0006,2023-11-19T03:00:00Z,validation,192
iw-validation-0007,2023-11-22T16:00:00Z,validation,192
iw-validation-0008,2023-11-25T22:00:00Z,validation,192
iw-validation-0009,2023-11-28T02:00:00Z,validation,192
iw-validation-0010,2023-12-01T05:00:00Z,validation,192
iw-validation-0011,2023-12-04T06:00:00Z,validation,192
iw-validation-0012,2023-12-07T21:00:00Z,validation,192
iw-validation-0013,2023-12-10T03:00:00Z,validation,192
iw-validation-0014,2023-12-13T18:00:00Z,validation,192
iw-validation-0015,2023-12-16T12:00:00Z,validation,192
iw-validation-0016,2023-12-19T17:00:00Z,validation,192
