Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
00:00,-7,2299,763,242,182,193,-1,2271,6328,2436,797,6070,0
00:05,-8,2298,755,245,182,190,-1,2270,6292,2340,1204,5928,0
00:10,-8,2314,757,244,182,191,-1,2269,6186,2233,1585,5869,0
00:15,-8,2366,757,244,182,191,-1,2269,6132,2236,1631,5769,0
00:20,-8,2402,758,243,182,175,-1,2269,6124,2241,1561,5796,0
00:25,-7,2408,759,245,182,172,-1,2269,6126,2244,1495,5809,0
00:30,-7,2406,760,246,181,172,-1,2269,6130,2248,1373,5833,0
00:35,-8,2387,761,245,181,172,-1,2269,6132,2248,1269,5853,0
00:40,-8,2372,763,245,181,173,-1,2269,6125,2244,1185,5913,0
00:45,-8,2364,761,244,181,173,-1,2268,6126,2243,1113,5933,0
00:50,-8,2362,761,243,181,173,-1,2268,6136,2238,1082,5892,0
00:55,-8,2378,760,244,180,172,-1,2268,6158,2232,949,5893,0
01:00,-8,2412,761,244,181,173,-1,2269,6162,2214,838,5933,0
01:05,-7,2460,765,246,179,173,-1,2268,6154,2148,923,5926,0
01:10,-7,2496,761,245,180,173,-1,2267,6158,2113,969,5947,0
01:15,-7,2512,774,245,180,172,-1,2267,6161,2108,898,5895,0
01:20,-8,2525,764,244,180,172,-1,2267,6177,2106,852,5854,0
01:25,-8,2554,765,243,181,172,-1,2268,6203,2087,741,5853,0
01:30,-7,2569,767,244,180,171,-1,2267,6200,2092,605,5931,0
01:35,-8,2583,763,245,180,171,-1,2268,6196,2087,494,5953,0
01:40,-8,2621,764,243,180,171,-1,2268,6177,2084,399,5971,0
01:45,-8,2653,763,245,180,171,-1,2267,6153,2078,324,6002,0
01:50,-8,2660,764,246,180,171,-1,2268,6137,2068,289,6007,0
01:55,-8,2659,765,244,180,171,-1,2267,6121,2057,265,6002,0
02:00,-8,2645,764,244,181,171,-1,2267,6106,2008,254,6054,0
02:05,-8,2638,764,244,180,170,-1,2267,6085,1917,72,6262,0
02:10,-8,2645,763,242,181,171,-1,2268,6081,1878,7,6275,0
02:15,-8,2679,764,242,181,171,-1,2267,6071,1870,-20,6226,0
02:20,-8,2707,764,243,181,171,-1,2267,6057,1870,-28,6142,0
02:25,-8,2719,764,244,180,170,-1,2267,6023,1853,-46,6144,0
02:30,-8,2717,763,243,181,171,-1,2267,5888,1847,-43,6153,0
02:35,-8,2699,764,244,181,171,-1,2266,5812,1852,-44,6187,0
02:40,-8,2697,763,244,181,171,-1,2267,5760,1852,-42,6216,0
02:45,-8,2701,763,246,181,170,-1,2268,5748,1855,-75,6206,0
02:50,-8,2699,764,246,181,170,-1,2267,5718,1856,-112,6249,0
02:55,-8,2669,764,246,181,169,-1,2268,5677,1860,-144,6299,0
03:00,-8,2643,765,246,181,169,-1,2268,5605,1859,-143,6373,0
03:05,-8,2595,776,247,181,170,-1,2269,5558,1900,-49,6335,0
03:10,-8,2516,770,248,181,170,-1,2268,5587,1944,70,6172,0
03:15,-8,2456,771,247,181,170,-1,2268,5637,1956,-2,6225,0
03:20,-8,2418,767,249,181,170,-1,2270,5655,2009,-128,6287,0
03:25,-8,2415,764,248,181,170,-1,2270,5605,2040,-189,6305,0
03:30,-8,2410,764,247,181,170,-1,2269,5556,2067,-185,6344,0
03:35,-8,2403,765,248,181,171,-1,2271,5528,2060,-193,6365,0
03:40,-8,2409,764,249,181,171,-1,2269,5517,2031,-176,6410,0
03:45,-8,2398,764,249,181,171,-1,2270,5509,2033,-146,6342,0
03:50,-9,2357,764,248,181,171,-1,2269,5512,2032,-139,6364,0
03:55,-9,2382,764,247,181,171,-1,2270,5542,2024,-141,6301,0
04:00,-9,2422,764,247,181,171,-1,2270,5568,2020,-155,6274,0
04:05,-9,2481,764,247,181,171,-1,2270,5548,2028,-54,6131,0
04:10,-9,2550,763,247,181,171,-1,2269,5536,2040,-87,6136,0
04:15,-9,2607,763,246,181,171,-1,2269,5493,2027,-94,6123,0
04:20,-9,2644,764,246,181,171,-1,2270,5364,2029,-18,6159,0
04:25,-9,2652,763,247,181,171,-1,2270,5338,2045,19,6091,0
04:30,-9,2649,764,248,181,170,-1,2270,5350,2050,35,6058,0
04:35,-9,2641,764,247,181,170,-1,2271,5354,2026,61,6041,0
04:40,-9,2658,764,248,181,171,-1,2270,5361,2021,72,6003,0
04:45,-9,2686,763,247,181,171,-1,2269,5357,2022,77,6004,0
04:50,-9,2696,764,249,181,171,-1,2270,5354,2021,77,5987,0
04:55,-9,2693,761,248,181,172,-1,2271,5346,2015,85,5979,0
05:00,-9,2735,760,248,181,189,-1,2271,5335,2008,93,5983,0
05:05,-8,2781,764,249,181,191,-1,2271,5257,1994,372,5797,0
05:10,-8,2789,763,249,181,191,-1,2270,5174,1828,540,5958,0
05:15,-8,2804,762,248,181,191,-1,2270,5164,1866,622,5851,0
05:20,-9,2797,761,248,181,192,-1,2270,5184,1882,625,5835,0
05:25,-8,2786,762,248,181,192,-1,2270,5201,1882,597,5900,0
05:30,-8,2813,761,248,181,192,-1,2271,5267,1886,585,5873,0
05:35,-9,2831,761,249,181,192,-1,2269,5148,1891,606,5980,0
05:40,-9,2819,761,248,180,192,-1,2270,4935,1890,805,6089,0
05:45,-9,2807,758,247,180,192,-1,2270,4943,1899,834,6063,0
05:50,-9,2793,756,248,180,192,-1,2270,4953,1896,860,6081,0
05:55,-9,2784,758,247,180,193,-1,2270,4971,1891,897,6090,0
06:00,-9,2811,758,246,181,192,-1,2270,4963,1877,1008,6078,0
06:05,-9,2822,762,246,181,191,-1,2271,4923,1851,1379,5859,0
06:10,-9,2851,761,244,180,191,-1,2271,4919,1842,1578,5822,0
06:15,-9,2886,761,246,180,191,-1,2270,4925,1843,1723,5692,0
06:20,-9,2905,761,247,180,191,-1,2270,4944,1842,1765,5660,0
06:25,-9,2923,758,247,180,192,-1,2271,4970,1841,1742,5716,0
06:30,-9,2934,758,246,181,191,-1,2270,4978,1840,1699,5727,0
06:35,-8,3006,758,245,181,192,-1,2271,4983,1830,1663,5761,0
06:40,-4,3071,759,244,180,192,-1,2271,5046,1833,1643,5765,0
06:45,4,3088,758,248,180,192,-1,2272,5061,1842,1605,5839,0
06:50,28,3080,758,249,181,192,-1,2271,5061,1838,1520,5943,0
06:55,72,3054,761,248,181,193,-1,2271,5098,1844,1409,6047,0
07:00,156,2990,760,248,181,193,-1,2272,5105,1843,1428,6055,0
07:05,307,2911,758,249,181,194,-1,2272,5074,1836,1640,5955,0
07:10,525,2887,763,249,181,195,-1,2271,5077,1773,1699,5891,0
07:15,819,2834,759,249,181,195,-1,2271,5040,1758,1622,5869,0
