Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,Carbon_Intensity_per_MW
00:00,-17,3500,827,313,221,411,-2,2228,13914,3000,-322,4327,0,319.80204729968233
00:05,-17,3481,828,312,223,412,-1,2230,13790,3033,60,3924,0,316.2992001721602
00:10,-17,3514,828,311,225,427,-2,2229,13705,3092,193,3643,0,311.9202595529921
00:15,-17,3573,828,312,226,429,-1,2229,13617,3088,159,3592,0,310.8771358239212
00:20,-17,3586,828,311,226,418,-1,2229,13557,3112,-45,3753,0,312.7027751612202
00:25,-17,3561,829,311,226,407,-2,2229,13538,3124,-129,3762,0,312.7624365482234
00:30,-17,3525,829,312,226,406,-2,2229,13377,3117,-172,3815,0,312.4527160043748
00:35,-17,3488,828,311,226,406,-2,2229,13244,3103,-185,3896,0,312.5639524245197
00:40,-17,3461,828,311,227,406,-1,2228,13148,3095,-189,3910,0,312.3997353719494
00:45,-17,3434,828,310,227,407,-1,2228,13024,3073,-226,3965,0,312.4028203329765
00:50,-17,3410,828,310,227,407,-1,2229,12876,3064,-230,4033,0,312.1276643066316
00:55,-17,3379,828,311,227,408,-1,2228,12718,3069,-183,4038,0,311.4062243451004
01:00,-17,3332,828,310,227,408,-1,2228,12602,3066,-186,4063,0,311.32232893157266
01:05,-17,3209,828,310,227,408,0,2228,12465,3099,-134,4312,0,312.72374240947596
01:10,-17,3113,827,308,227,408,0,2229,12119,3106,21,4427,0,311.7710126246351
01:15,-17,3058,827,307,227,408,-1,2227,12001,3027,132,4446,0,311.2716745390827
01:20,-18,3047,827,308,226,406,-1,2228,12095,3003,124,4318,0,311.7079767726161
01:25,-18,3017,827,308,226,404,-1,2229,12195,2990,90,4220,0,312.75411845835566
01:30,-18,2986,826,308,227,404,-1,2229,12249,2994,-213,4416,0,315.535887173623
01:35,-18,2949,827,308,227,404,-1,2230,12249,2983,-330,4439,0,316.18251182664426
01:40,-18,2910,823,304,226,403,-2,2229,12307,2984,-432,4490,0,317.3367335287177
01:45,-18,2878,826,306,226,403,-1,2230,12197,3004,-440,4504,0,316.7807878949983
01:50,-18,2857,826,305,226,404,-1,2231,12082,2977,-485,4590,0,316.9963209933318
01:55,-18,2831,824,305,226,405,-1,2231,12080,2974,-538,4648,0,317.6370458287071
02:00,-18,2780,824,305,226,405,-1,2232,11896,2969,-560,4769,0,317.67747394330985
02:05,-18,2716,824,304,226,406,0,2231,11779,2957,-614,4948,0,318.7167211852992
02:10,-18,2669,824,303,225,407,0,2232,11627,2957,-583,4981,0,318.4294678131536
02:15,-18,2617,825,304,226,406,-1,2232,11644,2950,-700,5100,0,319.82384740134376
02:20,-18,2523,826,304,226,406,-1,2233,11517,2953,-637,5141,0,320.258601251798
02:25,-18,2387,827,304,226,406,0,2232,11274,2951,-515,5183,0,320.5242672549638
02:30,-18,2219,827,304,227,407,0,2233,11136,2958,-473,5281,0,322.05924161207065
02:35,-18,2048,826,304,227,409,0,2235,11013,2966,-387,5343,0,323.56453809790884
02:40,-18,1899,827,303,226,410,0,2235,10956,2958,-373,5430,0,325.5873399371829
02:45,-18,1827,828,302,227,409,-1,2235,10982,3014,-387,5396,0,325.8068598605457
02:50,-18,1800,827,302,227,407,-1,2236,10923,3037,-515,5562,0,326.30593240748175
02:55,-18,1780,827,302,227,406,0,2236,10857,3025,-541,5596,0,326.43935613682095
03:00,-18,1744,827,301,227,406,0,2237,10914,3048,-590,5596,0,326.980396882783
03:05,-17,1707,827,302,227,406,0,2237,11225,3025,-727,5670,0,330.08620142743854
03:10,-17,1676,827,302,227,406,-1,2236,11280,2985,-739,5718,0,331.55043364619223
03:15,-18,1642,827,301,227,407,0,2234,11313,2972,-742,5722,0,332.39464299865284
03:20,-18,1559,827,302,227,406,0,2233,11381,2971,-832,5852,0,334.49013884506155
03:25,-18,1471,827,302,227,407,0,2233,11106,2961,-710,5899,0,334.256293454807
03:30,-18,1423,827,303,227,407,-1,2232,11039,2959,-758,6036,0,335.1238521121137
03:35,-18,1433,827,302,227,408,-1,2232,10893,2953,-734,6105,0,334.485343584815
03:40,-18,1465,827,302,226,409,-1,2230,10806,2952,-762,6133,0,333.7012950563329
03:45,-18,1458,827,304,226,409,0,2231,10874,2912,-803,6126,0,334.65990864652616
03:50,-18,1420,828,304,227,410,-1,2231,10827,2874,-724,6013,0,334.7946125222456
03:55,-18,1383,828,303,227,410,-1,2230,10825,2872,-752,6077,0,335.6050919377652
04:00,-18,1345,828,304,227,410,-1,2230,10859,2878,-821,6151,0,336.57344291354445
04:05,-13,1318,828,303,227,410,-1,2229,10573,2867,-648,6015,0,334.6574712643678
04:10,-19,1283,829,303,227,411,-1,2231,10462,2861,-589,6062,0,334.67367466402834
04:15,-19,1231,828,303,227,411,-1,2230,10452,2867,-628,6123,0,335.5399200362722
04:20,-19,1188,828,303,227,410,-1,2230,10437,2872,-639,6141,0,336.0392966234624
04:25,-19,1164,828,303,226,410,-1,2230,10343,2858,-566,6079,0,335.6528650493113
04:30,-19,1160,828,303,227,410,-1,2231,10309,2850,-560,6078,0,335.56933211039774
04:35,-19,1159,827,304,227,408,-1,2230,10360,2846,-610,6095,0,336.0644544244844
04:40,-19,1148,827,304,227,408,-1,2229,10369,2838,-633,6126,0,336.53407013461856
04:45,-19,1109,827,303,227,408,-1,2231,10302,2834,-565,6076,0,336.42569743611193
04:50,-19,1085,827,303,227,408,-1,2230,10249,2850,-500,6005,0,335.87508411843874
04:55,-19,1094,827,304,227,409,-2,2230,10195,2862,-520,6041,0,335.413456686291
05:00,-19,1111,827,305,227,409,-3,2229,10123,2852,-539,6121,0,335.2399243538558
05:05,-19,1106,827,307,227,401,-2,2230,10210,2839,-484,6085,0,335.84675422768663
05:10,-19,1099,825,306,226,394,-2,2230,10255,2825,-471,6140,0,336.71078390362254
05:15,-19,1090,827,307,227,395,-2,2229,10280,2858,-486,6130,0,336.49432102889597
05:20,-19,1113,825,307,227,395,-3,2230,10299,2835,-496,6085,0,336.40257514317966
05:25,-19,1162,826,306,227,396,-3,2229,10315,2850,-492,5997,0,335.23210103713615
05:30,-19,1192,826,306,227,397,-3,2230,10319,2842,-460,5895,0,334.4510634727524
05:35,-19,1183,825,306,227,397,-2,2230,10343,2862,-445,5826,0,334.1464582808167
05:40,-19,1157,825,308,227,397,-2,2230,10406,2873,-467,5774,0,334.5057142857143
05:45,-19,1125,825,308,227,398,-2,2231,10396,2864,-443,5765,0,334.93525967735144
05:50,-19,1136,824,309,226,398,-2,2230,10392,2858,-455,5759,0,334.83508890199715
05:55,-20,1145,824,311,226,398,-3,2231,10302,2867,-430,5767,0,334.02069868626705
06:00,-19,1131,824,316,226,398,-4,2231,10230,2883,-382,5717,0,333.2565582816878
06:05,-17,1136,826,319,223,398,-4,2232,10156,2889,-237,5521,0,331.5891339799159
06:10,-10,1131,826,321,223,397,-4,2231,10159,2899,-235,5507,0,331.4799330385887
06:15,39,1114,826,322,223,396,-4,2232,10070,2898,-131,5376,0,329.948658008658
06:20,118,1115,826,321,223,395,-5,2232,10013,2894,-109,5270,0,328.07500434555885
06:25,253,1118,826,322,223,395,-5,2232,9922,2885,-145,5202,0,325.50154461993645
06:30,465,1098,826,324,222,394,-5,2232,9819,2809,-191,5138,0,323.11838834866785
06:35,747,1106,826,325,222,395,-4,2231,9662,2684,-257,5162,0,320.2610058785108
06:40,1095,1095,826,324,222,395,-4,2232,9367,2594,-256,5170,0,315.29064340239916
06:45,1500,1090,825,325,222,395,-4,2232,9085,2588,-288,5140,0,308.41856826183334
06:50,1966,1083,825,326,222,395,-3,2233,8871,2654,-382,5014,0,300.00586358541
06:55,2482,1056,825,325,222,396,-4,2233,8879,2723,-497,4631,0,291.5715263518138
07:00,3045,1031,824,324,222,396,-4,2231,8944,2834,-686,4270,0,283.0040885142255
07:05,3768,997,824,325,222,387,-4,2233,8800,2484,-586,4174,0,278.11566710034833
07:10,4433,964,823,326,222,381,-4,2232,8735,2524,-446,3738,0,268.0033337500521
07:15,5089,904,823,325,222,381,-4,2233,8507,2557,-404,3358,0,257.3027729203098
07:20,5738,852,823,326,223,381,-3,2233,8125,2559,-377,3005,0,245.55786300452186
07:25,6385,815,822,325,225,382,-3,2232,7816,2408,-230,2762,0,236.70920554854982
07:30,7007,807,822,325,226,381,-4,2234,7703,2279,-488,2783,0,232.04787893822873
07:35,7592,798,821,326,226,382,-4,2232,8081,2029,-797,2782,0,233.82569212842046
07:40,8206,776,822,327,227,381,-4,2233,8304,1929,-971,2513,0,230.28606385917828
07:45,8958,747,821,326,226,381,-3,2233,8578,1912,-1318,2206,0,225.5435075172069
07:50,9602,697,820,325,226,380,-3,2234,8765,1909,-1576,1900,0,220.92393685323665
07:55,10098,660,820,324,226,380,-4,2232,8750,1909,-1556,1411,0,213.59568671963677
08:00,10523,625,820,322,226,379,-4,2232,8889,1911,-1630,1025,0,209.20904677680352
08:05,10999,572,820,323,226,378,-3,2228,9311,1886,-2226,1417,0,214.68166438701317
08:10,11395,535,820,324,226,379,-3,2226,8865,1787,-2076,1437,0,208.98569617961252
08:15,11699,502,821,323,226,379,-3,2225,8586,1757,-1968,1152,0,202.24440291671246
08:20,12007,459,821,322,226,379,-3,2224,8701,1601,-2042,1135,0,202.88165551352924
08:25,12287,458,821,324,226,379,-3,2223,8833,1466,-1876,838,0,200.90624545057506
08:30,12531,446,821,322,226,379,-3,2222,8926,1446,-1999,698,0,199.48208987625733
08:35,12605,419,821,322,226,380,-3,2222,8966,1452,-1984,545,0,198.25252012473712
08:40,12858,386,821,324,226,381,-3,2222,8964,1462,-1936,269,0,194.4891762312945
08:45,13145,335,820,322,226,381,-3,2221,8968,1434,-1970,82,0,191.79283562588466
08:50,13290,308,819,319,226,381,-3,2220,9126,1429,-2138,144,0,193.52117929772965
08:55,13407,304,820,315,226,381,-3,2221,9006,1403,-2140,77,0,191.17635624032542
09:00,13543,292,819,315,226,381,-4,2220,8896,1294,-2138,90,0,190.15547932839863
09:05,13712,269,820,315,226,381,-3,2220,9059,1259,-2337,302,0,193.33830104321908
09:10,13806,259,819,315,226,381,-3,2219,9107,1276,-2467,523,0,195.3197898423818
09:15,13911,256,818,316,226,381,-4,2219,8922,1255,-2350,335,0,191.30235685469603
09:20,13962,249,818,318,222,381,-4,2220,8640,1258,-2190,227,0,187.03983664111198
09:25,13975,241,818,316,221,381,-4,2221,8564,1251,-2121,143,0,185.42962162162164
09:30,13972,223,818,317,221,381,-4,2221,8477,1249,-2024,48,0,183.69687068902925
09:35,14049,213,817,317,220,380,-3,2221,8377,1262,-1902,-127,0,181.72710729363808
09:40,14139,215,817,321,219,380,-3,2222,8315,1260,-1845,-238,0,180.59299112985315
09:45,14201,220,817,322,220,379,-4,2223,8412,1251,-1835,-402,0,181.39861201474736
09:50,14249,229,817,324,219,377,-4,2223,8445,1260,-1751,-625,0,181.4305985737953
09:55,14305,240,817,328,219,378,-4,2224,8513,1258,-1759,-747,0,181.86016341743118
10:00,14411,253,817,328,219,377,-3,2224,8454,1259,-1790,-814,0,180.61805828714463
10:05,14401,267,817,330,221,378,-3,2223,8531,1267,-1843,-761,0,181.39865274263107
10:10,14499,280,816,331,220,378,-4,2223,8516,1297,-1827,-814,0,180.52991271024058
10:15,14620,291,817,333,220,378,-4,2223,8590,1328,-1920,-805,0,180.53395257195132
10:20,14651,306,818,334,220,378,-4,2222,8565,1329,-1899,-833,0,180.02580418351204
10:25,14661,332,817,333,220,380,-4,2223,8494,1332,-1793,-951,0,179.0318175418837
10:30,14727,360,817,331,220,380,-4,2223,8402,1321,-1719,-1059,0,177.61177423330165
10:35,14724,372,817,334,220,380,-4,2224,8231,1273,-1537,-1166,0,175.92168824259622
10:40,14732,390,817,334,219,380,-4,2224,8244,1266,-1367,-1332,0,175.96131226528732
10:45,14796,415,815,334,220,380,-3,2223,8361,1264,-1473,-1373,0,176.84958491627972
10:50,14698,424,815,333,222,380,-4,2223,8411,1251,-1457,-1406,0,177.86594777460618
10:55,14576,425,813,335,224,380,-3,2223,8461,1256,-1405,-1371,0,178.9609719916646
11:00,14676,444,813,335,225,380,-3,2223,8594,1250,-1453,-1395,0,179.87415966386556
11:05,14673,435,813,335,225,380,-3,2222,8889,1215,-1613,-1088,0,183.31141736383518
11:10,14475,444,813,337,224,367,-3,2219,8845,1154,-1422,-931,0,184.08424818491108
11:15,14490,456,813,335,224,359,-3,2220,8874,1146,-1339,-980,0,184.2867147559353
11:20,14443,482,812,336,224,358,-4,2219,8602,1147,-1100,-1069,0,181.4201309039448
11:25,14381,491,812,336,224,357,-3,2218,8461,1132,-985,-1002,0,180.1999643557298
11:30,14322,530,812,336,224,357,-3,2219,8497,1131,-939,-960,0,180.6410174201133
11:35,14297,546,812,335,224,357,-3,2219,8789,1155,-1016,-1006,0,183.7118793389012
11:40,14300,558,811,335,224,357,-3,2219,9079,1219,-1117,-1011,0,186.36555922769176
11:45,14167,550,811,335,224,357,-3,2219,8901,1228,-845,-1126,0,185.10968876384737
11:50,14231,581,812,336,224,357,-4,2219,8913,1237,-772,-1313,0,184.68819388505585
11:55,14384,546,812,336,223,356,-3,2219,9044,1250,-760,-1479,0,185.48615256472547
12:00,14485,534,812,338,223,357,-3,2219,9179,1282,-869,-1353,0,186.31948266373143
12:05,14387,526,811,336,223,357,-4,2219,8866,1289,-622,-1173,0,183.48675716229891
12:10,14337,501,812,338,223,358,-4,2219,8947,1274,-534,-1241,0,184.82105336637466
12:15,14323,509,811,340,223,358,-4,2219,9037,1241,-445,-1315,0,185.98968748911264
12:20,14292,503,813,340,223,359,-4,2220,8881,1515,-473,-1373,0,182.9689095772397
12:25,14250,577,812,341,223,359,-3,2218,8605,1535,-335,-1400,0,179.66478764749132
12:30,14121,617,812,339,223,359,-3,2219,8648,1602,-255,-1379,0,180.11700080473042
12:35,14037,625,813,340,223,359,-4,2219,8734,1570,-205,-1277,0,181.56325058646405
12:40,14017,674,811,341,223,359,-3,2217,8893,1682,-250,-1268,0,182.47917388592418
12:45,13966,697,812,340,223,359,-3,2217,9104,1791,-252,-1449,0,184.20672384219554
12:50,13971,700,811,339,223,359,-4,2216,9390,1811,-361,-1423,0,187.0351311903873
12:55,13880,683,812,339,223,358,-4,2214,9564,1875,-267,-1468,0,188.99898614396756
13:00,13954,730,812,340,222,357,-4,2213,9568,1923,-189,-1442,0,188.14918352261273
13:05,14075,785,811,340,223,357,-4,2211,9583,2034,-283,-1293,0,186.8254274499368
13:10,13857,843,812,341,223,366,-3,2211,9213,2111,53,-1114,0,182.96231121898597
13:15,13920,880,812,341,223,371,-3,2211,9014,2110,218,-1101,0,179.3981634094655
13:20,13897,933,811,340,223,371,-3,2211,8931,2403,299,-1357,0,176.34964057507986
13:25,13566,938,811,342,223,372,-3,2211,8862,2430,428,-1252,0,176.12371272349134
13:30,13283,922,811,340,221,373,-3,2212,9060,2450,499,-1178,0,178.97979730183235
13:35,13014,929,810,342,221,373,-3,2212,9406,2443,611,-1128,0,183.08009870614913
13:40,12804,995,810,344,220,373,-3,2213,9742,2423,595,-1070,0,187.2659722682943
13:45,12589,1027,810,345,220,373,-3,2212,9846,2451,675,-942,0,188.4750289975145
13:50,12651,1064,808,344,220,373,-4,2213,10046,2450,452,-718,0,191.36260248611478
13:55,12707,1115,811,342,220,373,-4,2214,10328,2490,242,-575,0,194.6385506580459
14:00,12545,1111,811,345,220,374,-3,2212,10567,2539,64,-261,0,198.6443743013086
14:05,12425,1047,811,344,220,377,-3,2212,10771,2681,-147,-31,0,201.1792468290125
14:10,12183,990,810,343,220,379,-3,2212,10384,2871,160,-66,0,196.88270970735425
14:15,12453,974,811,342,220,379,-3,2211,10572,2863,238,-323,0,197.0093208186677
14:20,12601,933,810,344,222,379,-3,2210,10700,2865,189,-407,0,198.07229383947657
14:25,12351,904,810,345,222,378,-4,2209,10796,2919,260,-316,0,199.620002596054
14:30,12207,912,810,345,222,378,-4,2209,10839,2931,490,-483,0,199.1290812207331
14:35,12192,965,810,345,223,377,-1,2209,11145,2922,590,-688,0,201.13697016018597
14:40,12202,1011,810,345,222,375,-2,2209,11326,2924,552,-630,0,202.69744628334547
14:45,12117,1084,810,344,222,375,-4,2207,11443,2928,751,-809,0,202.45126308531312
14:50,12082,1100,810,344,223,374,-3,2208,11942,2939,580,-754,0,207.9849199453891
14:55,11907,1154,809,344,222,373,-3,2208,12047,2974,571,-642,0,209.30661372378708
15:00,11791,1192,809,344,222,373,-2,2209,12263,3011,528,-525,0,211.58627081466835
15:05,11792,1205,810,339,222,378,-2,2210,12802,3068,169,-355,0,218.08927859705062
15:10,11817,1208,810,313,223,395,-2,2209,12866,3053,262,-278,0,217.93876865785538
15:15,11847,1178,810,312,222,395,-3,2209,12822,3067,536,-314,0,215.71638941914372
15:20,11774,1137,811,315,223,395,-3,2211,12928,3082,741,-400,0,215.7779182469448
15:25,11590,1161,810,315,223,395,-3,2211,13059,3083,929,-500,0,216.41670411311824
15:30,11512,1181,810,315,223,396,-3,2212,13382,3080,1080,-756,0,218.34330522266606
15:35,11591,1208,811,315,223,395,-3,2211,13982,3098,1018,-863,0,222.81353571117626
15:40,11662,1221,811,316,223,396,-2,2211,14225,3106,969,-967,0,224.5147939212526
15:45,11788,1238,810,315,223,396,-3,2211,14300,3103,893,-1113,0,224.8560534388349
15:50,11570,1252,810,314,223,397,-2,2210,14246,3115,1158,-1154,0,223.69459567883547
15:55,11482,1283,810,315,223,398,-2,2212,14178,3136,1362,-1202,0,221.9959429730579
16:00,11248,1367,809,315,223,399,-2,2211,14315,3192,1421,-1112,0,223.0215663371414
16:05,11418,1502,809,315,223,401,-3,2212,14837,3166,457,-587,0,231.63879904977247
16:10,11325,1552,810,316,222,419,-2,2212,15096,3146,2,-104,0,236.89720596291917
16:15,11002,1619,810,316,222,428,-2,2212,14993,3131,329,134,0,236.1539921767142
16:20,10763,1549,810,317,223,428,-2,2214,14999,3112,762,64,0,234.67549478643036
16:25,10679,1429,809,316,223,428,-1,2213,15173,3171,817,209,0,237.33359970318787
16:30,10559,1442,809,317,223,427,-1,2214,15157,3239,917,277,0,237.0985378619787
16:35,10072,1434,810,315,223,426,-2,2215,15399,3239,1099,493,0,241.5609507351483
16:40,9703,1450,811,315,223,426,-2,2216,15633,3239,1118,695,0,246.16416687851313
16:45,9507,1512,810,316,223,425,-1,2216,15709,3253,1164,913,0,248.21474889818376
16:50,9380,1568,810,317,223,424,-2,2217,15834,3281,1278,1028,0,249.07179430097952
16:55,9231,1658,810,317,223,423,-3,2217,16014,3292,1137,1379,0,253.3487513093335
17:00,9255,1720,810,319,223,421,-2,2216,16346,3329,779,1633,0,258.56396396396394
17:05,9148,1790,809,318,223,425,-2,2217,16803,3567,480,1334,0,260.615933931151
17:10,8939,1823,807,320,223,434,-1,2216,17035,3648,410,1327,0,263.0060955698269
17:15,8872,1773,808,319,223,437,-2,2218,17115,3704,559,1074,0,261.49346788490385
17:20,8263,1749,808,317,223,437,-1,2218,17281,3693,823,1145,0,264.80569550930994
17:25,7692,1730,806,319,223,453,-1,2219,17476,3708,842,1452,0,270.86198480818274
17:30,7399,1654,805,320,224,456,-1,2219,17586,3806,830,1786,0,274.90573043217125
17:35,7281,1555,805,316,224,455,-2,2221,17872,4017,682,1795,0,277.71507832898175
17:40,7007,1458,805,315,224,454,-2,2221,17888,4048,636,2164,0,282.08442582821084
17:45,6589,1368,805,317,224,455,-2,2220,18368,4073,794,2095,0,286.4127750793694
17:50,6143,1315,805,316,223,455,-1,2219,18596,4061,1027,2068,0,289.1234329535257
17:55,5849,1356,805,312,223,455,-2,2219,18864,4096,1344,1708,0,287.8930824450729
18:00,5705,1429,804,311,223,454,-2,2217,19257,4230,1362,1527,0,288.5623634156212
18:05,5152,1478,805,313,224,453,-2,2215,19012,4416,1897,1293,0,283.91321831272927
18:10,4761,1486,805,314,224,453,-1,2212,19190,4491,1891,1258,0,286.7497816117056
18:15,4455,1503,806,313,223,452,-1,2212,19364,4494,1993,1240,0,288.67972570554326
18:20,4154,1505,806,313,223,452,-1,2210,19577,4497,2074,1310,0,291.47339714745425
18:25,3687,1591,806,312,224,452,-2,2212,19972,4537,2206,1217,0,294.29164399956477
18:30,3225,1653,806,315,223,452,-2,2211,20418,4582,2213,1142,0,298.58171142763945
18:35,2770,1751,807,316,223,452,-2,2212,20839,4641,2347,922,0,300.65564244596504
18:40,2368,1756,807,317,223,452,-3,2211,21191,4641,2510,813,0,303.4166191600836
18:45,2112,1744,807,317,223,452,-3,2211,21343,4649,2571,871,0,305.7234585323491
18:50,1798,1672,807,317,223,453,-3,2213,21484,4664,2614,1045,0,309.3937074137416
18:55,1444,1661,808,318,224,454,-2,2212,21585,4672,2699,1159,0,312.14942091240283
19:00,1149,1595,808,319,224,455,-2,2214,21630,4653,2785,1316,0,315.019922055978
19:05,1036,1508,808,318,225,455,-3,2214,21538,4568,2954,1351,0,315.4761226725082
19:10,865,1422,808,319,225,455,-3,2216,21444,4546,3038,1548,0,317.1547308610798
19:15,660,1398,809,316,225,455,-3,2216,21512,4529,3054,1653,0,319.5767623446607
19:20,499,1402,809,318,225,455,-3,2215,21345,4467,3148,1844,0,320.3309991177768
