hour_only,Carbon_Intensity_per_MW
0,303.2198102748055
1,303.8482477238503
2,302.6991568051682
3,303.39778005357755
4,302.70018690093946
5,300.829843228134
6,285.8319966927152
7,246.33562755075897
8,192.3912347521663
9,168.27262221857993
10,160.70874301270837
11,157.90833336625627
12,156.30910968285679
13,155.93299474119112
14,159.68039406776307
15,173.5722000923956
16,199.1785248963449
17,219.95312200794623
18,242.6550278358604
19,261.26920836126976
20,270.23921105890327
21,279.53441043166134
22,293.0226408507095
23,301.70013440519034
