Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-weighted84.7951098.20260923T035234Z.iXUBuI.log
Slurm job: 7951098
Host: c211-013.frontera.tacc.utexas.edu
Python: /home1/09796/shuyuanfan4814/.conda/envs/carbon/bin/python
PyTorch: 2.6.0+cpu
sklearn: 1.6.1; scipy: 1.16.3; matplotlib: 3.11.2
frontera-train-0000 Fixed-4: completed, chunks=5
frontera-train-0000 Fixed-16: completed, chunks=2
frontera-train-0000 Fixed-64: completed, chunks=1
frontera-train-0001 Fixed-4: completed, chunks=5
frontera-train-0001 Fixed-16: completed, chunks=2
frontera-train-0001 Fixed-64: completed, chunks=1
frontera-train-0002 Fixed-4: completed, chunks=5
frontera-train-0002 Fixed-16: completed, chunks=2
frontera-train-0002 Fixed-64: completed, chunks=1
frontera-train-0003 Fixed-4: completed, chunks=5
frontera-train-0003 Fixed-16: completed, chunks=2
frontera-train-0003 Fixed-64: completed, chunks=1
frontera-train-0004 Fixed-4: completed, chunks=5
frontera-train-0004 Fixed-16: completed, chunks=2
frontera-train-0004 Fixed-64: completed, chunks=1
frontera-train-0005 Fixed-4: completed, chunks=5
frontera-train-0005 Fixed-16: completed, chunks=2
frontera-train-0005 Fixed-64: completed, chunks=1
frontera-train-0006 Fixed-4: completed, chunks=5
frontera-train-0006 Fixed-16: completed, chunks=2
frontera-train-0006 Fixed-64: completed, chunks=1
frontera-train-0007 Fixed-4: completed, chunks=5
frontera-train-0007 Fixed-16: completed, chunks=2
frontera-train-0007 Fixed-64: completed, chunks=1
frontera-train-0008 Fixed-4: completed, chunks=5
frontera-train-0008 Fixed-16: completed, chunks=2
frontera-train-0008 Fixed-64: completed, chunks=1
frontera-train-0009 Fixed-4: completed, chunks=5
frontera-train-0009 Fixed-16: completed, chunks=2
frontera-train-0009 Fixed-64: completed, chunks=1
frontera-train-0010 Fixed-4: completed, chunks=5
frontera-train-0010 Fixed-16: completed, chunks=2
frontera-train-0010 Fixed-64: completed, chunks=1
frontera-train-0011 Fixed-4: completed, chunks=5
frontera-train-0011 Fixed-16: completed, chunks=2
frontera-train-0011 Fixed-64: completed, chunks=1
frontera-train-0012 Fixed-4: completed, chunks=5
frontera-train-0012 Fixed-16: completed, chunks=2
frontera-train-0012 Fixed-64: completed, chunks=1
frontera-train-0013 Fixed-4: completed, chunks=5
frontera-train-0013 Fixed-16: completed, chunks=2
frontera-train-0013 Fixed-64: completed, chunks=1
frontera-train-0014 Fixed-4: completed, chunks=5
frontera-train-0014 Fixed-16: completed, chunks=2
frontera-train-0014 Fixed-64: completed, chunks=1
frontera-train-0015 Fixed-4: completed, chunks=5
frontera-train-0015 Fixed-16: completed, chunks=2
frontera-train-0015 Fixed-64: completed, chunks=1
frontera-train-0016 Fixed-4: completed, chunks=5
frontera-train-0016 Fixed-16: completed, chunks=2
frontera-train-0016 Fixed-64: completed, chunks=1
frontera-train-0017 Fixed-4: completed, chunks=5
frontera-train-0017 Fixed-16: completed, chunks=2
frontera-train-0017 Fixed-64: completed, chunks=1
frontera-train-0018 Fixed-4: completed, chunks=5
frontera-train-0018 Fixed-16: completed, chunks=2
frontera-train-0018 Fixed-64: completed, chunks=1
frontera-train-0019 Fixed-4: completed, chunks=5
frontera-train-0019 Fixed-16: completed, chunks=2
frontera-train-0019 Fixed-64: completed, chunks=1
frontera-train-0020 Fixed-4: completed, chunks=5
frontera-train-0020 Fixed-16: completed, chunks=2
frontera-train-0020 Fixed-64: completed, chunks=1
frontera-train-0021 Fixed-4: completed, chunks=5
frontera-train-0021 Fixed-16: completed, chunks=2
frontera-train-0021 Fixed-64: completed, chunks=1
frontera-train-0022 Fixed-4: completed, chunks=5
frontera-train-0022 Fixed-16: completed, chunks=2
frontera-train-0022 Fixed-64: completed, chunks=1
frontera-train-0023 Fixed-4: completed, chunks=5
frontera-train-0023 Fixed-16: completed, chunks=2
frontera-train-0023 Fixed-64: completed, chunks=1
frontera-train-0024 Fixed-4: completed, chunks=5
frontera-train-0024 Fixed-16: completed, chunks=2
frontera-train-0024 Fixed-64: completed, chunks=1
frontera-train-0025 Fixed-4: completed, chunks=5
