iteration,alpha,method,mean_tat_hours,mean_weighted_cost,mean_nodehours
,0.0,Fixed-4,240.90695922555554,0.9756168458400535,771.3604729911111
,0.0,Fixed-16,86.21691141333334,1.0122819007569295,796.964143951111
,0.0,Fixed-64,46.91006898055556,1.1121052821667818,871.4888592000001
,0.2,Fixed-4,240.90695922555554,1.5740259113715869,771.3604729911111
,0.2,Fixed-16,86.21691141333334,1.0938186266828203,796.964143951111
,0.2,Fixed-64,46.91006898055556,1.0442030547856456,871.4888592000001
,0.5,Fixed-4,240.90695922555554,2.471639509668887,771.3604729911111
,0.5,Fixed-16,86.21691141333334,1.216123715571656,796.964143951111
,0.5,Fixed-64,46.91006898055556,0.9423497137139414,871.4888592000001
,0.8,Fixed-4,240.90695922555554,3.3692531079661876,771.3604729911111
,0.8,Fixed-16,86.21691141333334,1.3384288044604917,796.964143951111
,0.8,Fixed-64,46.91006898055556,0.8404963726422373,871.4888592000001
,1.0,Fixed-4,240.90695922555554,3.9676621734977204,771.3604729911111
,1.0,Fixed-16,86.21691141333334,1.4199655303863823,796.964143951111
,1.0,Fixed-64,46.91006898055556,0.7725941452611013,871.4888592000001
16,0.0,Weighted-PPO,176.79644109451388,0.9760552194225728,781.2455250073149
16,0.2,Weighted-PPO,55.67466329548611,1.0569630135156916,855.8316412253703
16,0.5,Weighted-PPO,46.91006898055556,0.9423497137139414,871.4888592000001
16,0.8,Weighted-PPO,46.91006898055556,0.8404963726422373,871.4888592000001
16,1.0,Weighted-PPO,46.91006898055556,0.7725941452611013,871.4888592000001
32,0.0,Weighted-PPO,158.8832649556713,0.969179586158349,785.8683295161112
32,0.2,Weighted-PPO,48.176592926087956,1.0417416615231592,868.8127901031481
32,0.5,Weighted-PPO,46.91006898055556,0.9423497137139414,871.4888592000001
32,0.8,Weighted-PPO,46.91006898055556,0.8404963726422373,871.4888592000001
32,1.0,Weighted-PPO,46.91006898055556,0.7725941452611013,871.4888592000001
48,0.0,Weighted-PPO,181.3586773310301,0.9660466824897812,780.7624434537962
48,0.2,Weighted-PPO,46.91006898055556,1.0442030547856456,871.4888592000001
48,0.5,Weighted-PPO,46.91006898055556,0.9423497137139414,871.4888592000001
48,0.8,Weighted-PPO,46.91006898055556,0.8404963726422373,871.4888592000001
48,1.0,Weighted-PPO,46.91006898055556,0.7725941452611013,871.4888592000001
64,0.0,Weighted-PPO,201.6347368919213,0.9815061353858421,778.5579837923148
64,0.2,Weighted-PPO,46.91006898055556,1.0442030547856456,871.4888592000001
64,0.5,Weighted-PPO,46.91006898055556,0.9423497137139414,871.4888592000001
64,0.8,Weighted-PPO,46.91006898055556,0.8404963726422373,871.4888592000001
64,1.0,Weighted-PPO,53.839603680231484,0.8867214116390808,866.5127984231481
