iteration,alpha,method,mean_tat_hours,mean_carbon_g_per_kappa,mean_weighted_cost,mean_nodehours
,0.0,Fixed-4,47.09111111111111,52685.637398659426,0.44058864324470437,140.53666666666666
,0.0,Fixed-8,39.08347222222222,78417.25531900789,0.6557717403425468,208.42333333333332
,0.0,Fixed-16,39.00902777777778,138172.80357879738,1.1554831841827236,364.26666666666665
,0.0,Fixed-32,41.94645833333333,243953.2313488672,2.0400820512402835,645.7533333333333
,0.2,Fixed-4,47.09111111111111,52685.637398659426,0.662543829482334,140.53666666666666
,0.2,Fixed-8,39.08347222222222,78417.25531900789,0.781963754886691,208.42333333333332
,0.2,Fixed-16,39.00902777777778,138172.80357879738,1.1812427281529383,364.26666666666665
,0.2,Fixed-32,41.94645833333333,243953.2313488672,1.9082634264701719,645.7533333333333
,0.5,Fixed-4,47.09111111111111,52685.637398659426,0.9954766088387784,140.53666666666666
,0.5,Fixed-8,39.08347222222222,78417.25531900789,0.971251776702907,208.42333333333332
,0.5,Fixed-16,39.00902777777778,138172.80357879738,1.2198820441082603,364.26666666666665
,0.5,Fixed-32,41.94645833333333,243953.2313488672,1.7105354893150044,645.7533333333333
,0.8,Fixed-4,47.09111111111111,52685.637398659426,1.3284093881952228,140.53666666666666
,0.8,Fixed-8,39.08347222222222,78417.25531900789,1.160539798519123,208.42333333333332
,0.8,Fixed-16,39.00902777777778,138172.80357879738,1.2585213600635823,364.26666666666665
,0.8,Fixed-32,41.94645833333333,243953.2313488672,1.5128075521598368,645.7533333333333
,1.0,Fixed-4,47.09111111111111,52685.637398659426,1.5503645744328525,140.53666666666666
,1.0,Fixed-8,39.08347222222222,78417.25531900789,1.2867318130632672,208.42333333333332
,1.0,Fixed-16,39.00902777777778,138172.80357879738,1.284280904033797,364.26666666666665
,1.0,Fixed-32,41.94645833333333,243953.2313488672,1.3809889273897253,645.7533333333333
16,0.0,Weighted-PPO,47.09111111111111,52685.637398659426,0.44058864324470437,140.53666666666666
16,0.2,Weighted-PPO,47.09111111111111,52685.637398659426,0.662543829482334,140.53666666666666
16,0.5,Weighted-PPO,47.09111111111111,52685.637398659426,0.9954766088387784,140.53666666666666
16,0.8,Weighted-PPO,39.610928819444446,121723.63292850782,1.2468627559132288,326.03194444444443
16,1.0,Weighted-PPO,41.44142361111111,204323.56705931734,1.3643618416464218,542.6023611111111
32,0.0,Weighted-PPO,47.09111111111111,52685.637398659426,0.44058864324470437,140.53666666666666
32,0.2,Weighted-PPO,47.09111111111111,52685.637398659426,0.662543829482334,140.53666666666666
32,0.5,Weighted-PPO,47.09111111111111,52685.637398659426,0.9954766088387784,140.53666666666666
32,0.8,Weighted-PPO,39.08347222222222,78417.25531900789,1.160539798519123,208.42333333333332
32,1.0,Weighted-PPO,41.94645833333333,243953.2313488672,1.3809889273897253,645.7533333333333
48,0.0,Weighted-PPO,46.71272569444444,53549.7997243297,0.44781528271248355,143.36527777777778
48,0.2,Weighted-PPO,46.33434027777778,55221.47135763759,0.6745257696551413,146.1938888888889
48,0.5,Weighted-PPO,47.09111111111111,52685.637398659426,0.9954766088387784,140.53666666666666
48,0.8,Weighted-PPO,39.08347222222222,78417.25531900789,1.160539798519123,208.42333333333332
48,1.0,Weighted-PPO,41.94645833333333,243953.2313488672,1.3809889273897253,645.7533333333333
64,0.0,Weighted-PPO,46.71272569444444,53549.7997243297,0.44781528271248355,143.36527777777778
64,0.2,Weighted-PPO,46.33434027777778,55221.47135763759,0.6745257696551413,146.1938888888889
64,0.5,Weighted-PPO,47.09111111111111,52685.637398659426,0.9954766088387784,140.53666666666666
64,0.8,Weighted-PPO,39.08347222222222,78417.25531900789,1.160539798519123,208.42333333333332
64,1.0,Weighted-PPO,41.94645833333333,243953.2313488672,1.3809889273897253,645.7533333333333
