method,alpha,outcomes,completed,mean_tat_hours,mean_nodehours,mean_constant_carbon_kg_per_kappa,mean_ercot_carbon_kg_per_kappa,mean_chunks,switched_fraction,downscaled_fraction,constant_gap_vs_fixed_hull_hours,ercot_gap_vs_fixed_hull_hours
Fixed-4,,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Fixed-8,,36,36,176.89161582120371,1402.2462590688888,560.8985036275556,543.6865221011641,4,0,0,0.0,0.0
Fixed-16,,36,36,111.7671675925926,1768.0,707.2,685.2245855304392,3,0,0,0.0,0.0
Fixed-32,,36,36,75.1013931474074,2228.127714488889,891.2510857955556,856.9046914055443,2,0,0,0.0,0.0
Dynamic-0.00,0.0,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.10,0.1,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.20,0.2,36,36,178.3335669472222,1394.0322072664815,557.6128829065926,540.2476496451568,4.138888888888889,0.1388888888888889,0.1388888888888889,-1.432479577823898,-1.6960086348551613
Dynamic-0.30,0.3,36,36,113.08083558162038,1757.1965635381173,702.8786254152469,681.533298746154,3,0.1111111111111111,0.08333333333333333,-0.6099427900769996,-0.38476569909641967
Dynamic-0.40,0.4,36,36,112.48682910013889,1763.173697882037,705.2694791528148,683.3313320809992,3,0.05555555555555555,0.05555555555555555,-0.1396879050305131,-0.15146166076880263
Dynamic-0.50,0.5,36,36,75.49363646630401,2170.773895651759,868.3095582607037,835.9230191316638,2.0277777777777777,0.3333333333333333,0.19444444444444445,-4.17805774933646,-4.088819056708886
Dynamic-0.60,0.6,36,36,75.4128306894676,2176.069892111358,870.4279568445432,837.9903244894975,2,0.3055555555555556,0.16666666666666666,-3.836846321958518,-3.7281097752146763
Dynamic-0.70,0.7,36,36,74.95726458627315,2187.2692825948147,874.907713037926,842.4506570849898,2,0.25,0.16666666666666666,-3.399976885063566,-3.2310812369787385
Dynamic-0.80,0.8,36,36,74.46466144604166,2198.468673078272,879.3874692313086,845.3899352806727,2,0.19444444444444445,0.16666666666666666,-3.0001444852057233,-3.0959418044454736
Dynamic-0.90,0.9,36,36,74.46466144604166,2198.468673078272,879.3874692313086,845.3899352806727,2,0.19444444444444445,0.16666666666666666,-3.0001444852057233,-3.0959418044454736
Dynamic-1.00,1.0,36,36,74.46537776685184,2208.078259348148,883.2313037392593,849.4342086982299,2,0.1388888888888889,0.1388888888888889,-2.2336778920516167,-2.2314887322688577
