method,alpha,outcomes,completed,mean_tat_hours,mean_nodehours,mean_constant_carbon_kg_per_kappa,mean_ercot_carbon_kg_per_kappa,mean_chunks,switched_fraction,downscaled_fraction,constant_gap_vs_fixed_hull_hours,ercot_gap_vs_fixed_hull_hours
Fixed-4,,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Fixed-8,,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Fixed-16,,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Fixed-32,,36,36,80.4027820362963,2228.127714488889,891.2510857955556,857.7877025702342,2,0,0,0.0,0.0
Dynamic-0.00,0.0,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.10,0.1,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.20,0.2,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Dynamic-0.30,0.3,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.40,0.4,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.50,0.5,36,36,78.04489195974537,2133.6216560037037,853.4486624014816,823.3294682087528,2,0.5555555555555556,0.3055555555555556,-8.541780448208812,-8.339200132847566
Dynamic-0.60,0.6,36,36,77.5455434325463,2146.410850700741,858.5643402802963,825.959898518529,2,0.5,0.3333333333333333,-8.204283388829325,-8.381954770203023
Dynamic-0.70,0.7,36,36,77.26061160520834,2156.0204369706175,862.4081747882469,829.0907967846587,2,0.4444444444444444,0.3055555555555556,-7.860423486172294,-8.123420757475287
Dynamic-0.80,0.8,36,36,77.07475912576389,2160.0303279987656,864.0121311995061,831.2162974155588,2,0.4166666666666667,0.2777777777777778,-7.7838935647651795,-7.9403257695335725
Dynamic-0.90,0.9,36,36,78.02839798145834,2163.209936425926,865.2839745703704,832.1931004128567,2,0.4166666666666667,0.3333333333333333,-6.622200852487083,-6.817132039684282
Dynamic-1.00,1.0,36,36,78.31357789282407,2168.8096316676542,867.5238526670618,833.9481923283978,2,0.3888888888888889,0.3333333333333333,-5.970611611977972,-6.227300740379604
