method,alpha,outcomes,completed,mean_tat_hours,mean_nodehours,mean_constant_carbon_kg_per_kappa,mean_ercot_carbon_kg_per_kappa,mean_chunks,switched_fraction,downscaled_fraction,constant_gap_vs_fixed_hull_hours,ercot_gap_vs_fixed_hull_hours
Fixed-4,,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Fixed-8,,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Fixed-16,,36,36,110.93013055555555,1768.0,707.2,683.9086495867091,3,0,0,0.0,0.0
Fixed-32,,36,36,87.76713388814815,2228.127714488889,891.2510857955556,860.026292090164,2,0,0,0.0,0.0
Dynamic-0.00,0.0,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.10,0.1,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.20,0.2,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Dynamic-0.30,0.3,36,36,112.13925176638118,1760.0841973496606,704.0336789398642,680.5661930057254,3,0.1111111111111111,0.1111111111111111,-0.18385832027195192,-0.3177015251391566
Dynamic-0.40,0.4,36,36,111.77350824786265,1762.88402444929,705.1536097797161,681.8658945150003,3,0.08333333333333333,0.08333333333333333,-0.056903623249525026,-0.0897458388217558
Dynamic-0.50,0.5,36,36,81.75672234293981,2090.3431372950618,836.1372549180247,809.107312180279,2,0.8333333333333334,0.5277777777777778,-12.946537324777793,-12.707277033498727
Dynamic-0.60,0.6,36,36,81.4252355876389,2095.9428325367903,838.377133014716,811.5731606053124,2,0.8055555555555556,0.5277777777777778,-12.99613338291276,-12.714455343379356
Dynamic-0.70,0.7,36,36,81.4252355876389,2095.9428325367903,838.377133014716,811.5731606053124,2,0.8055555555555556,0.5277777777777778,-12.99613338291276,-12.714455343379356
Dynamic-0.80,0.8,36,36,80.01919070002315,2123.9413087454323,849.5765234981728,821.7134937824459,2,0.6666666666666666,0.5277777777777778,-12.992724784698723,-12.786843362497478
Dynamic-0.90,0.9,36,36,80.01919070002315,2123.9413087454323,849.5765234981728,821.7134937824459,2,0.6666666666666666,0.5277777777777778,-12.992724784698723,-12.786843362497478
Dynamic-1.00,1.0,36,36,79.7923283005324,2135.140699228889,854.0562796915556,825.3787412092576,2,0.6111111111111112,0.5277777777777778,-12.655805789857538,-12.531652330397463
