method,alpha,outcomes,completed,mean_tat_hours,mean_nodehours,mean_constant_carbon_kg_per_kappa,mean_ercot_carbon_kg_per_kappa,mean_chunks,switched_fraction,downscaled_fraction,constant_gap_vs_fixed_hull_hours,ercot_gap_vs_fixed_hull_hours
Fixed-4,,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Fixed-8,,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Fixed-16,,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Fixed-32,,36,36,72.7013931474074,2228.127714488889,891.2510857955556,857.3700328665185,2,0,0,0.0,0.0
Dynamic-0.00,0.0,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.10,0.1,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.20,0.2,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Dynamic-0.30,0.3,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.40,0.4,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.50,0.5,36,36,76.48536803462963,2151.939784954074,860.7759139816296,828.3332537799647,2,0.5277777777777778,0.5277777777777778,-2.4764864094410655,-2.5608086301280935
Dynamic-0.60,0.6,36,36,76.48536803462963,2151.939784954074,860.7759139816296,828.3332537799647,2,0.5277777777777778,0.5277777777777778,-2.4764864094410655,-2.5608086301280935
Dynamic-0.70,0.7,36,36,76.48536803462963,2151.939784954074,860.7759139816296,828.3332537799647,2,0.5277777777777778,0.5277777777777778,-2.4764864094410655,-2.5608086301280935
Dynamic-0.80,0.8,36,36,76.48536803462963,2151.939784954074,860.7759139816296,828.3332537799647,2,0.5277777777777778,0.5277777777777778,-2.4764864094410655,-2.5608086301280935
Dynamic-0.90,0.9,36,36,76.48536803462963,2151.939784954074,860.7759139816296,828.3332537799647,2,0.5277777777777778,0.5277777777777778,-2.4764864094410655,-2.5608086301280935
Dynamic-1.00,1.0,36,36,72.7013931474074,2228.127714488889,891.2510857955556,857.3700328665185,2,0,0,0.0,0.0
