method,alpha,outcomes,completed,mean_tat_hours,mean_nodehours,mean_constant_carbon_kg_per_kappa,mean_ercot_carbon_kg_per_kappa,mean_chunks,switched_fraction,downscaled_fraction,constant_gap_vs_fixed_hull_hours,ercot_gap_vs_fixed_hull_hours
Fixed-4,,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Fixed-8,,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Fixed-16,,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Fixed-32,,36,36,100.83843018444445,2228.127714488889,891.2510857955556,872.7439727183048,2,0,0,0.0,0.0
Dynamic-0.00,0.0,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.10,0.1,36,36,278.2049430813889,1112.730523908889,445.09220956355557,432.65781647987154,6,0,0,0.0,0.0
Dynamic-0.20,0.2,36,36,175.29346767305555,1402.2462590688888,560.8985036275556,543.007119464732,4,0,0,0.0,0.0
Dynamic-0.30,0.3,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.40,0.4,36,36,110.51068611111111,1768.0,707.2,684.3365346858994,3,0,0,0.0,0.0
Dynamic-0.50,0.5,36,36,83.81350603803241,2066.502700262963,826.6010801051852,800.2417868495183,2.0277777777777777,0.9166666666666666,0.5,-20.422412392649903,-20.74696242838816
Dynamic-0.60,0.6,36,36,82.40024086145833,2090.3431372950618,836.1372549180247,811.9791923347344,2,0.8333333333333334,0.5277777777777778,-21.334532341242706,-21.557665461165442
Dynamic-0.70,0.7,36,36,82.0576429950463,2095.9428325367903,838.377133014716,811.9220019967277,2,0.8055555555555556,0.5277777777777778,-21.559420094171372,-21.90319930288456
Dynamic-0.80,0.8,36,36,83.06358084409722,2115.921526689136,846.3686106756543,820.4505137718432,2,0.7222222222222222,0.5833333333333334,-20.133513969276123,-20.45943400166945
Dynamic-0.90,0.9,36,36,83.06358084409722,2115.921526689136,846.3686106756543,820.4505137718432,2,0.7222222222222222,0.5833333333333334,-20.133513969276123,-20.45943400166945
Dynamic-1.00,1.0,36,36,83.56171844460648,2127.1209171725927,850.848366869037,824.3677107688775,2,0.6666666666666666,0.5833333333333334,-19.399956141800104,-19.7601996065423
